date,Sentimen score
2015/4/9,0.678195776
2015/4/10,0.684676538
2015/4/13,0.748326193
2015/4/14,0.898071404
2015/4/15,0.944163678
2015/4/16,0.661590898
2015/4/17,0.63950322
2015/4/20,0.751197542
2015/4/21,0.733298185
2015/4/22,0.782647075
2015/4/23,0.649692174
2015/4/24,0.719763101
2015/4/27,0.560311906
2015/4/28,0.619919199
2015/4/29,0.622602814
2015/4/30,0.463089604
2015/5/1,0.71584849
2015/5/4,0.635546191
2015/5/5,0.713159998
2015/5/6,0.62591987
2015/5/7,0.536721085
2015/5/8,0.672399848
2015/5/11,0.493549049
2015/5/12,0.58416099
2015/5/13,0.832910716
2015/5/14,0.717444917
2015/5/15,0.815415799
2015/5/18,0.945386418
2015/5/19,0.532185122
2015/5/20,0.711150148
2015/5/21,0.532927213
2015/5/22,0.759816724
2015/5/26,0.560801214
2015/5/27,0.615225289
2015/5/28,0.70987278
2015/5/29,0.174959642
2015/6/1,0.662051729
2015/6/2,0.668778488
2015/6/3,0.375023423
2015/6/4,0.486518044
2015/6/5,0.790916193
2015/6/8,0.600271034
2015/6/9,0.536586562
2015/6/10,0.07932764
2015/6/11,0.491363822
2015/6/12,0.396060211
2015/6/15,0.729182319
2015/6/16,0.501604601
2015/6/17,0.7483244
2015/6/18,0.736782513
2015/6/19,0.616892211
2015/6/22,0.217978458
2015/6/23,0.866649154
2015/6/24,0.853058696
2015/6/25,0.914639684
2015/6/26,0.652057363
2015/6/29,0.531807283
2015/6/30,0.380549169
2015/7/1,0.440309794
2015/7/2,0.514309012
2015/7/6,0.74581678
2015/7/7,0.448298209
2015/7/8,0.863115529
2015/7/9,0.502217165
2015/7/10,0.635362128
2015/7/13,0.719795173
2015/7/14,0.651093926
2015/7/15,0.56618263
2015/7/16,0.581247976
2015/7/17,0.516026593
2015/7/20,0.646358938
2015/7/21,0.652831726
2015/7/22,0.55826187
2015/7/23,0.672816208
2015/7/24,0.778889512
2015/7/27,0.951373513
2015/7/28,0.799541907
2015/7/29,0.657379227
2015/7/30,0.525894492
2015/7/31,0.627806825
2015/8/3,0.725493647
2015/8/4,0.378512883
2015/8/5,0.771619308
2015/8/6,0.607390802
2015/8/7,0.691020012
2015/8/10,0.673238671
2015/8/11,0.698684569
2015/8/12,0.55618136
2015/8/13,0.722687835
2015/8/14,0.099213428
2015/8/17,0.541919501
2015/8/18,0.875803592
2015/8/19,0.637548575
2015/8/20,0.365657954
2015/8/21,0.940807762
2015/8/24,0.767883867
2015/8/25,0.658278397
2015/8/26,0.606643201
2015/8/27,0.815789474
2015/8/28,0.854262858
2015/8/31,0.73794271
2015/9/1,0.697569303
2015/9/2,0.613568852
2015/9/3,0.952634074
2015/9/4,0.525745487
2015/9/8,0.653291965
2015/9/9,0.481843687
2015/9/10,0.630400137
2015/9/11,0.592727052
2015/9/14,0.730303338
2015/9/15,0.851677072
2015/9/16,0.74910785
2015/9/17,0.50143059
2015/9/18,0.006795835
2015/9/21,0.605386863
2015/9/22,0.747560955
2015/9/23,0.780066256
2015/9/24,0.060948726
2015/9/25,0.60443866
2015/9/28,0.687555884
2015/9/29,0.594342897
2015/9/30,0.568524134
2015/10/1,0.722312995
2015/10/2,0.60989011
2015/10/5,0.620826449
2015/10/6,0.601061533
2015/10/7,0.813383661
2015/10/8,0.865404393
2015/10/9,0.573139159
2015/10/12,0.637632678
2015/10/13,0.60074003
2015/10/14,0.523529412
2015/10/15,0.765113373
2015/10/16,0.661375172
2015/10/19,0.668469426
2015/10/20,0.533388757
2015/10/21,0.35644043
2015/10/22,0.635614473
2015/10/23,0.616127883
2015/10/26,0.691506924
2015/10/27,0.758527926
2015/10/28,0.559116311
2015/10/29,0.607406889
2015/10/30,0.663439249
2015/11/2,0.624827295
2015/11/3,0.647509588
2015/11/4,0.68311062
2015/11/5,0.688104955
2015/11/6,0.719479175
2015/11/9,0.742341052
2015/11/10,0.768094219
2015/11/11,0.787538584
2015/11/12,0.482759749
2015/11/13,0.652057363
2015/11/16,0.602957535
2015/11/17,0.912099233
2015/11/18,0.580936454
2015/11/19,0.505971692
2015/11/20,0.759381048
2015/11/23,0.575886199
2015/11/24,0.71738343
2015/11/25,0.428095157
